zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,income,assessland
10306,3571,6,502,31,50,E159,122,910,5,2E,R,0,0,1,4000.0,1194.0,1,1.0,1,1,40.0,100.0,25.0,33.0,0,1,N,3,22213.0,1935,0.6,0.0,1.0,5,955407.0,150936.0,0,2,51,1,0,154330.25385286962,9859.0
11428,10629,48,413,29,23,E301,105,2910,4,3C,R,0,0,1,2500.0,1280.0,2,2.5,2,2,25.0,100.0,16.0,36.0,1,1,N,5,26043.0,1930,0.5,0.0,1.0,4,1055324.0,201841.0,0,13,44,0,0,90007.70195744015,12665.0
11354,4833,44,407,25,19,L144,109,222,4,7E,R,0,0,1,4200.0,1708.0,2,2.5,1,1,40.0,105.0,28.0,29.0,1,1,N,5,41920.0,1940,0.5,0.0,1.0,4,1036819.0,220956.0,0,7,43,0,0,94423.46847336821,16374.0
10308,5494,268,503,31,51,L082,122,920,5,2C,R,1,0,1,2716.0,1332.0,1,2.0,1,1,28.0,97.0,18.0,37.0,0,2,N,5,25128.0,1970,0.6,0.0,1.0,5,938896.0,142704.0,0,3,51,0,0,80930.8794021921,7478.0
11423,10367,41,412,29,27,L150,103,3510,4,2E,R,0,0,1,2500.0,1184.0,1,2.0,1,1,25.0,100.0,18.0,37.0,1,1,N,5,16920.0,1925,0.6,0.0,1.0,4,1048385.0,196858.0,0,12,44,0,0,148674.089255306,6835.0
11229,8914,46,315,22,46,E321,61,8900,3,4D,R,0,0,1,1800.0,1536.0,1,1.75,2,2,40.0,45.0,26.0,24.0,0,1,N,5,21060.0,1925,0.9,0.0,2.0,3,1005602.0,154264.0,0,15,37,1,0,342922.7296738956,7200.0
10306,3684,24,502,31,50,E159,122,910,5,2E,R,0,0,1,2940.0,1760.0,1,2.0,1,1,28.0,105.0,16.0,48.0,1,2,N,5,26939.0,1975,0.6,0.0,1.0,5,957373.0,150054.0,0,2,51,1,0,100363.66628750305,6052.0
10303,1247,23,501,31,49,E158,121,100,5,4C,R,0,0,1,880.0,1040.0,1,2.0,1,1,20.0,44.0,20.0,26.0,0,2,N,5,12465.0,1989,0.6,0.0,1.0,5,939233.0,168868.0,0,1,51,0,0,124498.1047042088,3656.0
10308,5480,70,503,31,51,L082,122,920,5,2D,R,1,0,1,4040.0,1707.0,1,1.0,1,1,40.0,101.0,26.0,49.0,0,1,N,5,26640.0,1978,0.6,0.0,1.0,5,939765.0,138978.0,0,3,51,0,0,129881.31210801091,6115.0
11216,1206,73,308,17,36,E219,77,2900,3,2A,R,0,0,2,1875.0,3152.0,1,3.0,3,3,17.5,107.17,17.5,45.0,0,2,N,5,26300.0,1899,2.0,0.0,2.0,3,997573.0,186011.0,0,8,32,0,0,87712.17108274769,9015.0
10302,1444,10,501,31,50,E166,121,100,5,4D,R,0,0,1,3772.0,1296.0,1,2.0,1,1,41.0,92.0,37.0,18.0,0,1,N,3,30082.0,1965,0.5,0.0,1.0,5,944996.0,165713.0,0,1,51,0,0,53801.143390889316,8820.0
10304,3319,60,502,31,50,L081,122,910,5,1E,R,0,0,1,2037.0,1176.0,1,2.0,1,1,21.0,97.0,14.0,42.0,0,2,N,5,22980.0,2002,0.6,0.0,1.0,5,957462.0,154170.0,0,2,51,0,0,48188.99671542268,7440.0
10306,2272,14,502,31,50,L085,122,100,5,2C,R,1,0,1,7200.0,1912.0,1,2.0,1,1,60.0,120.0,40.0,24.0,0,1,N,5,46920.0,1975,0.5,0.0,1.0,5,946265.0,149357.0,0,2,51,0,0,135201.76232188632,16268.0
11422,13687,24,413,29,31,E314,105,3620,4,7D,R,0,0,1,4000.0,1125.0,1,1.5,1,1,40.0,100.0,25.83,36.0,0,1,N,5,22723.0,1950,0.6,0.0,1.0,4,1059678.0,177837.0,0,13,44,1,0,37486.67508936713,9714.0
11236,7957,13,318,18,46,E310,69,7510,3,2C,R,0,0,1,2200.0,3100.0,1,3.0,2,2,22.0,100.0,22.0,55.0,0,2,N,5,35043.0,1960,1.35,0.0,2.0,3,1006834.0,171861.0,0,18,33,0,0,229100.37007018155,10471.0
11419,9490,13,409,28,28,Q270,102,3210,4,4E,R,0,0,1,2282.0,1344.0,2,2.0,1,1,20.0,114.08,16.0,38.0,1,1,N,5,23296.0,1920,0.9,0.0,2.0,4,1033623.0,190941.0,0,9,45,0,0,143393.57337581008,7795.0
10306,3590,18,502,31,50,E159,122,910,5,2E,R,0,0,1,2500.0,1108.0,2,2.5,1,1,25.0,100.0,18.0,28.0,0,1,N,5,21008.0,1920,0.6,0.0,1.0,5,955100.0,149857.0,0,2,51,0,0,62102.275239978924,7499.0
11356,4090,36,407,25,19,E297,109,210,4,5E,R,0,0,1,3000.0,1488.0,2,2.0,2,2,30.0,100.0,20.0,33.0,1,1,N,5,26374.0,1920,0.9,0.0,2.0,4,1027881.0,224951.0,0,7,43,0,0,430270.64772464545,6562.0
10301,45,37,501,31,49,E155,120,400,5,2C,R,1,0,1,2500.0,1500.0,1,3.0,1,1,25.0,100.0,14.0,40.0,0,1,N,5,26502.0,2017,0.6,0.0,1.0,5,960502.0,172576.0,0,1,51,0,0,78722.4990630045,6873.0
10309,7105,164,503,31,51,E168,123,800,5,6C,R,1,0,1,4809.0,2225.0,0,2.0,2,2,40.0,118.0,25.0,44.5,0,1,N,5,7991.0,2017,0.6,0.0,1.0,5,922340.0,136721.0,0,3,51,0,0,66615.45695381892,7991.0
11375,3280,28,406,28,29,E305,112,1920,4,2C,R,0,0,1,3000.0,1828.0,2,2.5,1,1,30.0,100.0,22.0,28.0,1,2,N,5,51955.0,1930,0.6,0.0,1.0,4,1027800.0,198564.0,0,6,46,0,0,220767.26634465926,11981.0
10314,2445,11,502,31,51,L087,121,100,5,4C,R,0,0,1,2520.0,2016.0,1,2.0,1,1,24.0,103.0,20.0,50.0,0,2,N,5,25488.0,1997,0.6,0.0,1.0,5,938904.0,149003.0,0,2,51,0,0,73904.47956769192,5979.0
11416,9020,12,409,27,32,L142,102,3000,4,1D,R,0,0,2,2500.0,2880.0,1,3.0,3,3,25.0,100.0,16.0,60.0,0,1,N,5,41472.0,2004,1.25,0.0,2.0,4,1024517.0,189166.0,0,9,45,0,0,84945.21772741116,16480.0
11215,1010,24,306,15,39,E239,78,4600,3,5C,R,0,0,4,1207.0,2050.0,1,3.0,1,2,16.67,72.5,16.67,53.0,1,2,Y,5,61992.0,1930,3.0,0.0,3.0,3,987656.0,183221.0,0,6,39,0,0,66617.4343740955,18858.0
11105,890,62,401,30,22,E312,114,110,4,1D,R,0,0,1,2000.0,1590.0,2,2.0,1,1,20.0,100.0,20.0,38.0,1,2,N,5,32184.0,1920,1.35,0.0,2.0,4,1006260.0,222914.0,0,1,41,0,0,169913.95845723394,6575.0
11426,8668,49,413,26,23,E251,105,2160,4,1E,R,0,0,1,5320.0,2494.0,2,2.5,1,1,40.0,133.0,22.0,51.0,1,1,N,5,34992.0,1935,0.5,0.0,1.0,4,1063829.0,204688.0,0,13,43,0,2007,116149.23988237347,15771.0
