,scores,support
schooldist_2,8903.22628726295,False
schooldist_3,9000.759803921606,False
schooldist_4,7508.98765432081,False
schooldist_5,7391.108363858206,False
schooldist_6,7947.788299663142,False
schooldist_7,6764.708963585034,False
schooldist_8,5368.029469514213,False
schooldist_9,6437.269400044745,False
schooldist_10,5965.829679209915,False
schooldist_11,4839.496461136862,False
schooldist_12,5635.911130320121,False
schooldist_13,6558.840454143116,False
schooldist_14,6247.8840224797805,False
schooldist_15,5183.5307209729735,False
schooldist_16,5773.707470444795,False
schooldist_17,5066.291803160531,False
schooldist_18,4484.231682309518,False
schooldist_19,5112.925967060475,False
schooldist_20,5093.035029809185,False
schooldist_21,4665.714338232169,False
schooldist_22,4609.532217151992,False
schooldist_23,5694.035041330316,False
schooldist_24,4571.841140469877,False
schooldist_25,4702.659060719927,False
schooldist_26,4844.378804449613,False
schooldist_27,4564.088653317917,False
schooldist_28,4340.235271570429,False
schooldist_29,4436.131450465019,False
schooldist_30,4855.3374247168595,False
schooldist_31,5045.603587420277,False
schooldist_32,5964.942651759826,False
council_1,9172.830508474632,False
council_2,9134.108024691284,False
council_3,8919.491111111038,False
council_4,9250.627272727374,False
council_5,8506.338095238172,False
council_6,9125.404761904669,False
council_7,7525.557347670144,False
council_8,7326.740706605526,False
council_9,8023.158930150599,False
council_10,8331.412878787756,False
council_11,5503.07881690341,False
council_12,4912.430021099344,False
council_13,5009.5137783767805,False
council_14,5521.821486071898,False
council_15,6354.93930702506,False
council_16,6057.341151058033,False
council_17,6036.73737491369,False
council_18,4946.225687547125,False
council_19,4918.909034004203,False
council_20,4645.6738400061195,False
council_21,4718.0982270356735,False
council_22,4525.608067321007,False
council_23,4081.407723698939,False
council_24,4736.943280057321,False
council_25,4928.42373087182,False
council_26,5730.739529469064,False
council_27,4639.056809862184,False
council_28,4188.082660847847,False
council_29,4925.304527964312,False
council_30,3776.787534314277,False
council_31,5340.677464572257,False
council_32,4701.355562236162,False
council_33,6785.332497785442,False
council_34,6121.3651598410515,False
council_35,5881.466322494241,False
council_36,5738.4931415846495,False
council_37,5077.616914033719,False
council_38,5069.182629257142,False
council_39,5136.010064691047,False
council_40,5113.376632122004,False
council_41,4990.122775529864,False
council_42,5501.316449454813,False
council_43,4542.204266626819,False
council_44,5378.040285498266,False
council_45,4199.649129661776,False
council_46,5122.869343840882,False
council_47,4844.350635340773,False
council_48,4803.1055990906925,False
council_49,5554.921193710528,False
council_50,5249.1665828399255,False
council_51,5297.284878540381,False
zipcode_10001,8953.136363636384,False
zipcode_10002,9124.868421052564,False
zipcode_10003,9369.99999999993,False
zipcode_10004,9390.000000000005,True
zipcode_10005,9390.000000000007,True
zipcode_10006,9390.000000000156,True
zipcode_10007,9387.999999999996,True
zipcode_10009,8929.809523809417,False
zipcode_10010,8713.214285714228,False
zipcode_10011,9095.797101449361,False
zipcode_10012,9377.999999999944,False
zipcode_10013,9372.999999999995,False
zipcode_10014,9146.404761904687,False
