zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ownertype,lotarea,bldgarea,resarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,last_modif
11436,12011.0,42.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,X,1930.0,0.0,1600.0,0.0,0.0,0.0,0.0,19.25,100.0,0.0,0.0,0.0,0.0,N,3.0,2232.0,2232.0,1920.0,4.0,1039362.0,185680.0,0.0,12.0,45.0,0.0,0.0
11436,12022.0,32.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,3731.0,3731.0,1920.0,4.0,1041849.0,186886.0,0.0,12.0,44.0,0.0,0.0
11436,12105.0,134.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,200.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,N,8.0,160.0,160.0,1920.0,4.0,1042116.0,183949.0,0.0,12.0,45.0,0.0,0.0
11436,12070.0,176.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,C,2150.0,0.0,1600.0,0.0,0.0,0.0,0.0,5.0,263.4,0.0,0.0,0.0,0.0,Y,8.0,829.0,829.0,1920.0,4.0,1041542.0,184089.0,0.0,12.0,45.0,0.0,0.0
11436,12102.0,75.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1900.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,95.0,0.0,0.0,0.0,0.0,N,5.0,2386.0,2386.0,1920.0,4.0,1042238.0,184128.0,0.0,12.0,45.0,0.0,0.0
11436,12068.0,109.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3-1,0.0,0.0,11.0,,500.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,N,5.0,160.0,160.0,1920.0,4.0,1041273.0,184140.0,0.0,12.0,45.0,0.0,0.0
11436,12058.0,301.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3-1,0.0,0.0,11.0,,1060.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.0,106.0,0.0,0.0,0.0,0.0,Y,8.0,660.0,660.0,1920.0,4.0,1040115.0,184191.0,0.0,12.0,45.0,0.0,0.0
11436,12067.0,92.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2940.0,0.0,1600.0,0.0,0.0,0.0,0.0,30.0,98.0,0.0,0.0,0.0,0.0,N,3.0,3351.0,3351.0,1920.0,4.0,1040950.0,184210.0,0.0,12.0,45.0,0.0,0.0
11436,12103.0,17.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,1.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2984.0,2984.0,1920.0,4.0,1042561.0,184392.0,0.0,12.0,45.0,0.0,0.0
11436,12060.0,269.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3-1,0.0,0.0,11.0,,1852.0,0.0,1600.0,0.0,0.0,0.0,0.0,17.25,107.33,0.0,0.0,0.0,0.0,N,5.0,2088.0,2088.0,1920.0,4.0,1040434.0,184442.0,0.0,12.0,45.0,0.0,0.0
