"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"672335",12520,20,"12",28,27,NA,"L133",113,3532,4,"6D","R3A","0","0","11","",1155,0,1600,0,0,0,0,15,77,0,0,"0","0","N","5",777,777,1920,4,1047884,187036,"0","12","44","0",0
"672347",3788,53,"09",8,18,NA,"L047",43,3020,2,"4E","R5","0","0","11","",2575,0,2001,0,0,0,0,25,103,0,0,"0","0","N","5",5588,5588,1920,2,1023638,240808,"0","9","26","0",0
"672356",6834,21,"03",31,51,NA,"L084",123,800,5,"6E","R3X","1","0","11","",5200,0,1500,0,0,0,0,52,100,0,0,"0","0","N","5",11905,11905,1920,5,929176,134857,"0","3","51","0",0
"672380",7323,120,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","X",12000,0,1500,0,0,0,0,100,120,0,0,"0","0","N","5",96300,96300,1920,5,921229,134456,"0","3","51","0",0
"672384",6352,23,"03",31,51,NA,"E164",123,800,5,"4D","R3X","1","0","11","",3000,0,1500,0,0,0,0,30,100,0,0,"0","0","N","5",5868,5868,1920,5,938528,131268,"0","3","51","0",0
"672388",7540,66,"03",31,51,NA,"L076",123,800,5,"7D","R3X","1","0","11","M",33180,0,1500,0,0,0,0,60,555,0,0,"0","0","N","5",14154,14154,1920,5,922741,128851,"0","3","51","0",0
"672389",4699,1,"03",31,51,NA,"E165",122,920,5,"1C","R3-1","1","0","11","",6000,0,1500,0,0,0,0,60,100,0,0,"0","0","N","3",13962,13962,1920,5,947573,144566,"0","3","51","0",0
"672392",5802,28,"03",31,51,NA,"E167",123,800,5,"5C","R3-2","1","0","11","",8000,0,1500,0,0,0,0,80,100,0,0,"0","0","N","5",1160,1160,1920,5,929843,143291,"0","3","51","0",0
"672397",6,18,"01",31,49,NA,"L078",120,500,5,"2C","C4-2","1","0","9","X",3600,0,1500,0,0,0,0,60,60,0,0,"0","0","N","5",35550,35550,1920,5,962851,172158,"0","1","51","0",0
"672409",6459,26,"03",31,51,NA,"E164",123,800,5,"7C","R3X","1","0","11","",5085,0,1500,0,0,0,0,45,113,0,0,"0","0","Y","5",9672,9672,1920,5,935458,131343,"0","3","51","0",0
"672410",7914,74,"03",31,51,NA,"E151",123,800,5,"8D","R3X","1","0","11","X",37000,0,1500,0,0,0,0,50,100,0,0,"0","0","Y","5",12670,12670,1920,5,915744,124544,"0","3","51","0",0
"672419",6993,175,"03",31,51,NA,"L084",123,800,5,"7D","R3X","1","0","11","",14665,0,1500,0,0,0,0,55,169,0,0,"0","0","Y","5",13381,13381,1920,5,924957,130824,"0","3","51","0",0
"672452",6205,81,"03",31,51,NA,"E167",123,800,5,"4E","R3-2","1","0","11","",7490,0,1500,0,0,0,0,216,36,0,0,"0","0","Y","5",160,160,1920,5,936442,135504,"0","3","51","0",0
"672455",6665,19,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","1","",9000,0,1500,0,0,0,0,60,150,0,0,"0","0","N","5",15651,15812,1920,5,929821,126902,"0","3","51","0",0
"672471",4378,1,"07",25,19,NA,"L130",109,1200,4,"5E","M2-1","1","0","11","",14000,0,1600,2,0,0,0,57,145,0,0,"0","0","Y","5",303750,303750,1920,4,1026736,219199,"0","7","43","0",0
"672475",6662,87,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","11","",7611,0,1500,0,0,0,0,72,108,0,0,"0","0","N","0",12300,12300,1920,5,929828,125403,"0","3","51","0",0
"672476",6,10,"01",31,49,NA,"L078",120,500,5,"2C","C4-2","1","0","11","",3300,0,1500,1,0,0,0,33,100,0,0,"0","0","N","5",81900,81900,1920,5,962899,172009,"0","1","51","0",0
"672482",6302,55,"03",31,51,NA,"E167",123,800,5,"5D","R3X","1","0","11","",2000,0,1500,0,0,0,0,20,100,0,0,"0","0","N","5",1477,1477,1920,5,931388,137208,"0","3","51","0",0
"672483",3379,116,"02",31,50,NA,"L081",122,910,5,"1E","R3-1","0","0","11","",520,0,1500,0,0,0,0,26,20,0,0,"0","0","N","5",595,595,1920,5,959306,152667,"0","2","51","0",0
"672488",6815,114,"03",31,51,NA,"L084",123,800,5,"7E","R3X","1","0","11","",2500,0,1500,0,0,0,0,53,110,0,0,"0","0","Y","5",2686,2686,1920,5,930026,132663,"0","3","51","0",0
"672496",5762,90,"03",31,51,NA,"E167",123,800,5,"5C","R3-2","1","0","11","",3640,0,1500,0,0,0,0,40,91,0,0,"0","0","N","5",5373,5373,1920,5,931498,143997,"0","3","51","0",0
"672498",7293,250,"03",31,51,NA,"E168",123,800,5,"6D","M2-1","1","0","11","X",44000,0,1500,0,0,0,0,220,200,0,0,"0","0","Y","5",18900,18900,1920,5,918370,136545,"0","3","51","0",0
"672499",2306,277,"02",31,50,NA,"L085",122,100,5,"2C","R1-2","1","0","11","",2600,0,1500,1,0,0,0,26,100,0,0,"0","0","N","5",2984,2984,1920,5,946842,150822,"0","2","51","0",0
"672507",1271,48,"05",2,4,NA,"E023",18,4800,1,"2B","C5-P","1","0","11","",150,0,7664,0,0,0,0,5.42,50,0,0,"0","0","Y","8",2250,2250,1920,1,991009,217029,"0","5","13","0",0
"672511",7310,12,"03",31,51,NA,"E168",123,800,5,"6D","M1-1","1","0","11","",3666,0,1500,0,0,0,0,39,94,0,0,"0","0","N","5",38250,38250,1920,5,918905,135544,"0","3","51","0",0
"672512",5623,50,"03",31,51,NA,"E167",123,800,5,"4E","R3-1","1","0","11","X",1950,0,1500,0,0,0,0,35,55,0,0,"0","0","Y","5",148,148,1920,5,936026,138309,"0","3","51","0",0
"672513",7328,100,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","",609800,0,1500,0,0,0,0,352,1604,0,0,"0","0","Y","5",2724750,2724750,1920,5,919318,134573,"0","3","51","0",0
"672534",3208,10,"05",10,14,NA,"E075",46,1520,2,"1A","R7-1","0","0","11","",2642,0,2001,0,0,0,0,26.5,100,0,0,"0","0","Y","5",1207,1207,1920,2,1009965,252045,"0","5","25","0",0
"672537",8780,19,"15",22,48,NA,"L169",61,8721,3,"3D","R4","0","0","11","",28,0,2064,0,0,0,0,1,1.5,0,0,"0","0","Y","3",60,60,1920,3,999165,152800,"0","15","37","1",0
"672556",7375,9,"03",31,51,NA,"L076",123,800,5,"6D","R3-2","1","0","11","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",7260,7260,1920,5,919695,133345,"0","3","51","0",0
"672557",4099,114,"07",25,19,NA,"E295",109,210,4,"5C","R4A","0","0","11","",2640,0,1600,0,0,0,0,29.25,91.08,0,0,"0","0","Y","5",296,296,1920,4,1029398,225480,"0","7","43","0",0
"672559",833,40,"02",31,50,NA,"E160",122,600,5,"3D","R1-1","1","0","11","",1790,0,1500,0,0,0,0,65,55,0,0,"0","0","Y","5",2625,2625,1920,5,958566,160525,"0","2","51","0",0
"672566",3756,1,"02",31,50,NA,"L081",122,910,5,"2E","R3-1","0","0","11","",8730,0,1500,0,0,0,0,97,90,0,0,"0","0","Y","3",8003,8003,1920,5,960732,149982,"0","2","51","1",0
"672567",8007,84,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",3500,0,1500,0,0,0,0,25,140,0,0,"0","0","Y","5",540,540,1920,5,919450,128073,"0","3","51","0",0
"672573",8032,18,"03",31,51,NA,"L076",123,800,5,"8E","R1-2","1","0","11","",1720,0,1500,0,0,0,0,20,86.6,0,0,"0","0","Y","5",1641,1641,1920,5,914333,124921,"0","3","51","0",0
"672574",8031,30,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",2500,0,1500,0,0,0,0,25,100,0,0,"0","0","N","5",2386,2386,1920,5,914503,125494,"0","3","51","0",0
"672576",7206,321,"03",31,51,NA,"E168",123,800,5,"6D","M3-1","1","0","11","",17280,0,1500,1,0,0,0,100,171.98,0,0,"0","0","Y","5",142650,142650,1920,5,919690,140436,"0","3","51","0",0
"672581",7328,90,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","",141250,0,1500,0,0,0,0,450,287,0,0,"0","0","Y","5",60300,60300,1920,5,919696,134904,"0","3","51","0",0
"672595",14228,774,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1540,0,1600,0,0,0,0,10,154,0,0,"0","0","Y","2",894,894,1920,4,1030943,178092,"0","10","45","1",0
"672597",4616,54,"03",31,51,NA,"L082",122,920,5,"2E","R2","1","0","11","C",2350,0,1500,0,0,0,0,25,94,0,0,"0","0","N","5",4118,4118,1920,5,942383,141464,"0","3","51","0",0
"672599",4617,20,"03",31,51,NA,"L082",122,920,5,"2E","R2","1","0","11","C",2280,0,1500,0,0,0,0,29,80,0,0,"0","0","Y","5",4656,4656,1920,5,942496,141847,"0","3","51","0",0
"672605",7371,33,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","X",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",68850,68850,1920,5,920411,133633,"0","3","51","0",0
"672606",5293,110,"03",31,51,NA,"L082",122,920,5,"3C","R3A","1","0","11","C",1380,0,1500,0,0,0,0,1,800,0,0,"0","0","N","8",148,148,1920,5,940501,135409,"0","3","51","0",0
"672609",5551,1,"03",31,51,NA,"L087",121,100,5,"2D","R3-2","1","0","11","X",204435,0,1500,0,0,0,0,315,649,0,0,"0","0","N","3",154970,154970,1920,5,940628,144836,"0","3","51","1",0
"672613",2894,6,"04",24,25,NA,"E287",110,1821,4,"1D","R5","0","0","11","X",2912,0,1600,0,0,0,0,30,97.75,0,0,"0","0","N","5",2232,2232,1920,4,1017534,205582,"0","4","46","0",0
"672614",8119,131,"11",26,19,NA,"E313",111,2150,4,"4C","R2A","0","0","11","",1440,0,1600,0,0,0,0,40,36.17,0,0,"0","0","Y","6",595,595,1920,4,1056007,219609,"0","11","43","0",0
"672616",7562,22,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",5000,0,1500,0,0,0,0,50,100,0,0,"0","0","N","5",840,840,1920,5,920795,129085,"0","3","51","0",0
"672618",934,250,"02",31,50,NA,"L085",122,600,5,"3D","R3-2","1","0","9","X",956521,5500,1500,4,1,0,1,617,702,0,0,"0","0","Y","5",5311350,7040700,1931,5,950565,152522,"0","2","51","0",0
"672623",7371,11,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","X",8000,0,1500,0,0,0,0,40,200,0,0,"0","0","N","5",8550,8550,1920,5,920853,133599,"0","3","51","0",0
"672630",14234,529,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","C",1400,0,1600,0,0,0,0,26,75.5,0,0,"0","0","Y","5",998,998,1920,4,1031480,178879,"0","10","45","1",0
"672631",22,105,"01",31,49,NA,"E155",120,400,5,"2C","R3A","1","0","11","",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",9240,9240,1920,5,960475,174664,"0","1","51","0",0
"672632",3294,18,"06",28,29,NA,"E305",112,1920,4,"2C","R6","0","0","10","",284,0,1600,1,1,0,0,10,28.42,0,20,"0","2","N","8",1782,2386,1950,4,1029188,200928,"0","6","46","0",0
"672633",929,100,"02",31,50,NA,"L085",122,600,5,"3D","R1-1","1","0","11","X",113028,0,1500,0,0,0,0,610,211,0,0,"0","0","Y","5",87421,87421,1920,5,949839,155312,"0","2","51","0",0
"672635",952,26,"02",31,50,NA,"L085",122,600,5,"2C","R1-2","1","0","11","",1745,0,1500,0,0,0,0,111,25,0,0,"0","0","Y","5",230,230,1920,5,948746,151091,"0","2","51","0",0
"672643",7206,316,"03",31,51,NA,"E168",123,800,5,"6D","M3-1","1","0","11","",13914,0,1500,0,0,0,0,100,137.61,0,0,"0","0","Y","5",116100,116100,1920,5,919887,140462,"0","3","51","0",0
"672648",885,23,"02",31,50,NA,"L085",122,600,5,"3D","R1-1","1","0","11","",2562,0,1500,0,0,0,0,25.67,116.42,0,0,"0","0","Y","5",1192,1192,1920,5,955490,154271,"0","2","51","0",0
"672652",2024,132,"10",5,9,NA,"L028",32,1000,1,"4A","R7-2","0","0","11","",971,0,7664,0,0,0,0,12.5,77.67,0,0,"0","0","N","8",4500,4500,1920,1,1000190,237191,"0","10","11","0",0
"672653",3295,71,"06",28,29,NA,"E305",112,1920,4,"2C","R3-1","0","0","10","",276,0,1600,1,1,0,0,7.33,37.67,0,20,"0","2","N","6",1120,1670,1950,4,1027967,198033,"0","6","46","0",0
"672661",14247,1297,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1600,0,1600,0,0,0,0,20,80,0,0,"0","0","N","5",1789,1789,1920,4,1031985,177189,"0","10","45","1",0
"672665",5016,54,"03",31,51,NA,"E162",122,920,5,"3E","R3-2","1","0","11","",154,0,1500,0,0,0,0,110,1.33,0,0,"0","0","N","8",79,79,1920,5,946135,142493,"0","3","51","0",0
"672669",5830,3908,"08",10,11,NA,"E052",50,100,2,"3D","R1-2","1","0","11","",6312,0,2001,0,0,0,0,99.67,63.33,0,0,"0","0","Y","5",10059,10059,1920,2,1010800,266246,"0","8","21","0",0
"672673",5627,42,"10",11,13,NA,"E070",45,720,2,"1C","R3A","1","0","11","",1701,0,2001,0,0,0,0,17.01,100,0,0,"0","0","N","5",4320,4320,1920,2,1042708,246826,"0","10","24","0",0
"672684",346,25,"06",15,39,NA,"E202",76,4100,3,"2C","M2-1","0","0","0","C",2550,0,2064,0,0,0,0,25.5,100,0,0,"0","0","N","5",33300,39150,1920,3,982612,188553,"0","6","38","1",0
"672691",5687,130,"03",31,51,NA,"E167",123,800,5,"5E","R3-1","1","0","11","C",35206,0,1500,0,0,0,0,20,200,0,0,"0","0","Y","6",15763,15763,1920,5,934204,144867,"0","3","51","0",0
"672692",7372,50,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","X",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",68850,68850,1920,5,920514,133979,"0","3","51","0",0
"672694",7094,14,"03",31,51,NA,"E168",123,800,5,"6C","R3-1","1","0","11","X",39705,0,1500,0,0,0,0,98.19,324.83,0,0,"0","0","Y","6",19407,19407,1920,5,922927,137326,"0","3","51","0",0
"672695",7100,110,"03",31,51,NA,"E168",123,800,5,"6C","R3-2","1","0","11","X",11012,0,1500,0,0,0,0,104,104,0,0,"0","0","N","5",45540,45540,1920,5,923288,137751,"0","3","51","0",0
"672703",6249,260,"03",31,51,NA,"E167",123,800,5,"7C","R3X","1","0","11","",2400,0,1500,0,0,0,0,20,120,0,0,"0","0","Y","5",33,33,1920,5,934324,135957,"0","3","51","0",0
"672706",6815,200,"03",31,51,NA,"L084",123,800,5,"7E","R3X","1","0","10","",943,0,1500,0,0,0,0,41,38,0,0,"0","0","Y","5",11250,11250,1920,5,930637,133527,"0","3","51","0",0
"672711",7328,290,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","",5500,0,1500,0,0,0,0,50,110,0,0,"0","0","N","5",57150,57150,1920,5,918915,135289,"0","3","51","0",0
"672714",7366,36,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","X",8000,0,1500,0,0,0,0,80,100,0,0,"0","0","N","5",31500,31500,1920,5,921138,133748,"0","3","51","0",0
"672715",4062,43,"05",19,42,NA,"E225",75,6200,3,"4E","R5","0","0","11","",2000,0,2064,0,0,0,0,20,100,0,0,"0","0","N","5",2137,2137,1920,3,1016199,182796,"0","5","33","0",0
"672716",59,1,"01",31,49,NA,"E155",120,400,5,"2C","R2","1","0","11","",2462,0,1500,0,0,0,0,25,100,0,0,"0","0","Y","3",3783,3783,1920,5,959684,174050,"0","1","51","0",0
"672717",85,12,"01",31,49,NA,"E155",120,400,5,"2D","R3-2","1","0","11","",2500,0,1500,0,0,0,0,25,100,0,0,"0","0","N","5",3639,3639,1920,5,959028,170963,"0","1","51","0",0
"672719",1451,37,"01",31,50,NA,"E166",121,100,5,"4D","R2","0","0","11","",5908,0,1500,0,0,0,0,145,40,0,0,"0","0","Y","3",7128,7128,1920,5,945569,165545,"0","1","51","0",0
"672724",7376,60,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","",8000,0,1500,0,0,0,0,80,100,0,0,"0","0","N","5",82800,82800,1920,5,920201,133927,"0","3","51","0",0
"672725",7757,6,"03",31,51,NA,"E151",123,800,5,"8D","R3X","1","0","11","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",4057,4057,1920,5,921081,125271,"0","3","51","0",0
"672730",5762,109,"03",31,51,NA,"E167",123,800,5,"5C","R3-2","1","0","11","",4550,0,1500,0,0,0,0,79,132.58,0,0,"0","0","N","5",1491,1491,1920,5,931543,143668,"0","3","51","0",0
"672731",6555,1,"03",31,51,NA,"E164",123,800,5,"7C","R1-2","1","0","11","C",43640,0,1500,0,0,0,0,362,124,0,0,"0","0","N","3",46020,46020,1920,5,933042,131682,"0","3","51","0",0
"672733",5026,18,"03",31,51,NA,"E162",122,920,5,"3E","R3-1","1","0","11","X",11250,0,1500,0,0,0,0,50,225,0,0,"0","0","N","5",916,916,1920,5,947449,141344,"0","3","51","0",0
"672737",5900,14,"03",31,51,NA,"L087",123,800,5,"5C","M1-1","1","0","11","C",3798,0,1500,0,0,0,0,210,18.08,0,0,"0","0","N","5",32400,32400,1920,5,931177,144350,"0","3","51","0",0
"672750",5415,100,"03",31,51,NA,"E164",123,920,5,"4D","R1-2","1","0","11","",11570,0,1500,0,0,0,0,89.74,130,0,0,"0","0","N","5",18570,18570,1920,5,941006,132903,"0","3","51","0",0
"672751",115,78,"01",31,49,NA,"L078",120,400,5,"2D","R4","1","0","11","",6000,0,1500,0,0,0,0,40,150,0,0,"0","0","N","5",9213,9213,1920,5,960181,170025,"0","1","51","0",0
"672752",6378,46,"03",31,51,NA,"E164",123,800,5,"4D","R1-2","1","0","11","C",2631,0,1500,0,0,0,0,65.78,40,0,0,"0","0","N","5",5728,5728,1920,5,937129,134111,"0","3","51","0",0
"672765",5223,51,"07",25,20,NA,"E274",109,1320,4,"2E","R3X","0","0","11","",250,0,1600,0,0,0,0,10,25,0,0,"0","0","N","8",300,300,1920,4,1035373,211816,"0","7","43","0",0
"672773",2562,1,"01",7,17,NA,"L029",40,4700,2,"2A","M1-2/R6A","1","0","7","X",29050,0,2001,0,0,0,0,207.5,140,0,0,"0","0","N","3",225900,301500,1935,2,1007429,231661,"0","1","23","0",0
"672777",6616,100,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","11","C",4320,0,1500,0,0,0,0,60,72,0,0,"0","0","N","5",10020,10020,1920,5,930533,132506,"0","3","51","0",0
"672783",6681,31,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","11","",17200,0,1500,0,0,0,0,117,146,0,0,"0","0","Y","3",39300,39300,1920,5,928792,130800,"0","3","51","0",0
"672784",6805,136,"03",31,51,NA,"E151",123,800,5,"7D","R3X","1","0","11","",4320,0,1500,0,0,0,0,90,48,0,0,"0","0","Y","6",467,467,1920,5,925613,130117,"0","3","51","0",0
"672787",838,369,"02",31,50,NA,"E160",122,600,5,"3D","R1-1","1","0","11","",10785,0,1500,0,0,0,0,95,122,0,0,"0","0","Y","5",22749,22749,1920,5,957013,159397,"0","2","51","0",0
"672790",7376,45,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","",4000,0,1500,0,0,0,0,48,100,0,0,"0","0","Y","5",40050,40050,1920,5,920101,133794,"0","3","51","0",0
"672796",5753,140,"08",12,11,NA,"",72,46,2," ","R1-1","1","0","11","X",87500,0,2001,0,0,0,0,175,500,0,0,"0","0","N","5",3117,3117,1920,2,1005728,262159,"0","5","23","1",0
"672800",839,136,"02",31,50,NA,"E160",122,600,5,"3D","PARK","0","0","9","C",29000,0,1500,0,0,0,0,254,156.33,0,0,"0","0","Y","5",30907,30907,1920,5,955221,158894,"0","2","51","0",0
"672802",5625,224,"10",11,13,NA,"E070",45,720,2,"1C","R3A","1","0","11","",3290,0,2001,1,0,0,0,70,47.25,0,0,"0","0","Y","5",8340,8340,1920,2,1043914,245300,"0","10","24","0",0
"672804",5625,118,"10",11,13,NA,"E070",45,720,2,"1C","R3A","1","0","11","",1493,0,2001,0,0,0,0,16.58,90,0,0,"0","0","N","5",3780,3780,1920,2,1043465,245548,"0","10","24","0",0
"672808",15006,62,"13",29,31,NA,"E302",105,3612,4,"8E","M1-1","0","0","10","",5000,0,1600,0,0,0,0,50,100,0,0,"0","0","N","5",63000,63000,1920,4,1044503,181719,"0","13","45","0",0
"672811",586,34,"01",31,49,NA,"L077",120,500,5,"1E","R2","1","0","11","",7298,0,1500,0,0,0,0,61.54,115.85,0,0,"0","0","Y","5",13662,13662,1920,5,960789,168434,"0","1","51","0",0
"672814",5447,105,"03",31,51,NA,"L082",122,920,5,"2D","R3-1","1","0","11","",756,0,1500,0,0,0,0,14,54,0,0,"0","0","N","5",523,523,1920,5,941047,143413,"0","3","51","0",0
"672818",3766,11,"02",31,50,NA,"L081",122,910,5,"2E","R3-1","0","0","11","C",3600,0,1500,0,0,0,0,40,90,0,0,"0","0","N","5",360,360,1920,5,959236,149440,"0","2","51","1",0
"672822",5481,59,"10",8,13,NA,"E072",45,3210,2,"2D","C3A","0","0","11","",2500,0,2001,0,0,0,0,25,100,0,0,"0","0","N","5",5100,5100,1920,2,1035390,241787,"0","10","26","1",0
"672825",4320,28,"05",19,42,NA,"E290",75,6420,3,"4C","R6","0","0","11","",1500,0,2064,0,0,0,0,15,100,0,0,"0","0","N","5",1297,1297,1920,3,1014026,179013,"0","5","33","0",0
"672827",254,8,"01",31,49,NA,"E156",120,400,5,"2D","R2","1","0","11","",8330,0,1500,0,0,0,0,83.98,99.19,0,0,"0","0","N","5",1377,1377,1920,5,955838,167097,"0","1","51","0",0
"672833",6740,45,"03",31,51,NA,"E151",123,800,5,"7D","R3X","1","0","11","",1110,0,1500,0,0,0,0,19,111,0,0,"0","0","Y","5",217,217,1920,5,927574,127543,"0","3","51","0",0
"672834",7153,70,"03",31,51,NA,"L084",123,800,5,"6C","M2-1","1","0","11","",7815,0,1500,0,0,0,0,37,181,0,0,"0","0","Y","5",9868,9868,1920,5,923469,140779,"0","3","51","0",0
"672841",7315,73,"03",31,51,NA,"E168",123,800,5,"6D","M1-1","1","0","11","X",4160,0,1500,0,0,0,0,40,104,0,0,"0","0","N","5",71550,71550,1920,5,918743,136020,"0","3","51","0",0
"672845",8005,118,"03",31,51,NA,"L076",123,800,5,"8E","R1-2","1","0","11","C",248,0,1500,0,0,0,0,16.1,31,0,0,"0","0","Y","5",60,60,1920,5,914104,125233,"0","3","51","0",0
"672848",3857,208,"05",24,30,NA,"E319",104,1810,4,"4E","R4A","0","0","11","",1900,0,1600,0,0,0,0,20,95,0,0,"0","0","N","5",4028,4028,1920,4,1022839,196612,"0","5","46","0",0
"672851",604,19,"01",31,49,NA,"E160",120,500,5,"1E","R3X","1","0","11","",6000,0,1500,0,0,0,0,60,100,0,0,"0","0","N","5",18189,18189,1920,5,955788,163935,"0","1","51","0",0
"672852",7755,39,"03",31,51,NA,"E151",123,800,5,"8D","R3X","1","0","11","",1860,0,1500,0,0,0,0,20,93,0,0,"0","0","N","5",2060,2060,1920,5,920802,124578,"0","3","51","0",0
"672869",3667,459,"05",24,30,NA,"L135",104,1810,4,"4D","M1-1","0","0","11","",1710,0,1600,0,0,0,0,30.58,62.58,0,0,"0","0","Y","5",55350,55350,1920,4,1017758,196776,"0","5","46","0",0
"672877",8112,46,"11",26,19,NA,"E313",111,2150,4,"4C","R3-1","0","0","11","",2875,0,1600,0,0,0,0,25,115,0,0,"0","0","N","5",6567,6567,1920,4,1056013,218907,"0","11","43","0",0
"672881",622,102,"01",31,49,NA,"E160",120,500,5,"1E","R3-1","1","0","11","",3075,0,1500,0,0,0,0,25,123,0,0,"0","0","N","5",5588,5588,1920,5,959727,163514,"0","1","51","0",0
"672882",11356,17,"10",27,32,NA,"E331",106,3000,4,"1D","R4","0","0","10","",6055,0,1600,0,0,0,0,60,100.11,0,0,"0","0","N","5",95850,95850,1920,4,1023354,184249,"0","10","45","0",0
"672885",4700,14,"03",31,51,NA,"E165",122,920,5,"1C","R3-1","1","0","11","",3500,0,1500,0,0,0,0,40,100,0,0,"0","0","Y","5",7222,7222,1920,5,947747,144559,"0","3","51","0",0
"672889",6333,130,"03",31,51,NA,"E167",123,800,5,"5D","R3X","1","0","11","X",65,0,1500,0,0,0,0,1,65,0,0,"0","0","N","8",33,33,1920,5,930911,134808,"0","3","51","0",0
"672890",7206,315,"03",31,51,NA,"E168",123,800,5,"6D","M3-1","1","0","11","",15783,0,1500,0,0,0,0,120.81,140.99,0,0,"0","0","Y","5",132300,132300,1920,5,919926,140363,"0","3","51","0",0
"672893",7496,49,"03",31,51,NA,"L076",123,800,5,"7D","R3X","1","0","11","",8624,0,1500,0,0,0,0,56,154,0,0,"0","0","N","5",10090,10090,1920,5,923746,130731,"0","3","51","0",0
"672904",254,211,"01",31,49,NA,"E156",120,400,5,"2D","R2","1","0","11","",4888,0,1500,0,0,0,0,44,111,0,0,"0","0","N","5",11942,11942,1920,5,956123,167845,"0","1","51","0",0
"672906",6333,200,"03",31,51,NA,"E167",123,800,5,"5D","R3X","1","0","11","X",60,0,1500,0,0,0,0,1,60,0,0,"0","0","N","8",33,33,1920,5,930717,134711,"0","3","51","0",0
"672907",7562,9,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",2500,0,1500,0,0,0,0,25,100,0,0,"0","0","N","5",360,360,1920,5,920513,129056,"0","3","51","0",0
"672914",1383,113,"08",17,35,NA,"E234",77,5010,3,"3B","R6","0","0","11","",400,0,2064,0,0,0,0,20,20.58,0,0,"0","0","Y","5",450,450,1920,3,1001991,183534,"0","8","32","0",0
"672921",2622,31,"05",24,30,NA,"Q288",104,1600,4,"1E","M1-1","0","0","10","",2148,0,1600,0,0,0,0,30.15,71.27,0,0,"0","0","Y","5",38700,38700,1920,4,1009096,200865,"0","5","46","0",0
"672922",13434,127,"13",29,31,NA,"E311",105,3620,4,"8E","R3-2","0","0","11","",3400,0,1600,0,0,0,0,44,75,0,0,"0","0","N","5",1969,1969,1920,4,1050554,179226,"0","13","44","0",0
"672924",571,24,"01",31,49,NA,"L078",120,500,5,"1E","R3X","1","0","11","",13200,0,1500,0,0,0,0,75,72,0,0,"0","0","Y","5",7612,7612,1920,5,961964,169369,"0","1","51","0",0
"672925",569,231,"01",31,49,NA,"L078",120,500,5,"1E","R3-1","1","0","11","",7820,0,1500,0,0,0,0,115,68,0,0,"0","0","N","5",7096,7096,1920,5,962290,171400,"0","1","51","0",0
"672928",3339,23,"06",28,29,NA,"E305",112,1920,4,"2C","R6","0","0","10","",175,0,1600,1,1,0,0,9,19.42,10,20,"0","2","N","5",839,1969,1950,4,1029434,200745,"0","6","46","0",0
"672930",6475,40,"03",31,51,NA,"E164",123,800,5,"7C","R3-2","1","0","11","X",482350,0,1500,1,0,0,0,300,500,0,0,"0","0","Y","5",27100,27100,1920,5,935293,130195,"0","3","51","0",0
"672934",6672,10,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","11","",100,0,1500,0,0,0,0,10,10,0,0,"0","0","Y","8",60,60,1920,5,929617,129129,"0","3","51","0",0
"672937",580,126,"01",31,49,NA,"L077",120,500,5,"1E","R3-2","1","0","11","X",9000,0,1500,0,0,0,0,60,150,0,0,"0","0","N","5",10695,10695,1920,5,959951,169194,"0","1","51","0",0
