"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"53311",9035,40,"09",27,32,NA,"E294",102,3000,4,"1D","R4A","0","0","11","",300,0,1600,0,0,0,0,20.67,14.42,0,0,"0","0","Y","5",60,60,1920,4,1026428,189809,"0","9","45","0",0
"53317",12525,120,"12",28,27,NA,"L133",113,3532,4,"6D","R3A","0","0","10","",2436,0,1600,0,0,0,0,28,87,0,0,"0","0","N","5",47700,47700,1920,4,1048765,187872,"0","12","44","0",0
"53320",2762,160,"02",8,17,NA,"E094",41,4300,2,"1A","R6","0","0","10","",10000,0,2001,0,0,0,0,100,100,0,0,"0","0","N","3",135900,135900,1920,2,1015803,237624,"1","2","23","0",0
"53337",4275,49,"05",19,42,NA,"L107",75,6410,3,"3C","R4","0","0","11","",632,0,2064,0,0,0,0,4,158.83,0,0,"0","0","Y","5",291,291,1920,3,1022487,184469,"0","5","33","0",0
"53338",718,45,"01",31,50,NA,"L083",120,600,5,"4E","R3-1","0","0","11","",3120,0,1500,0,0,0,0,30,104,0,0,"0","0","Y","5",60,60,1920,5,948523,161721,"0","1","51","0",0
"53375",1687,175,"03",16,36,NA,"L111",81,3000,3,"4A","R6B","0","0","11","C",559,0,2064,0,0,0,0,16.75,33.25,0,0,"0","0","Y","5",664,664,1920,3,1004353,187402,"0","3","32","0",0
"53391",7954,151,"13",29,23,NA,"L162",105,2160,4,"2D","R3A","0","0","11","",4080,0,1600,0,0,0,0,61,68,0,0,"0","0","Y","5",1491,1491,1920,4,1058679,205620,"0","13","43","0",0
"53414",2877,372,"05",9,14,NA,"E043",46,2210,2,"1B","R5","0","0","11","",2906,0,2001,0,0,0,0,25,116.3,0,0,"0","0","Y","5",1413,1413,1920,2,1006409,249412,"0","5","25","0",0
"53458",223,24,"01",31,49,NA,"L079",120,300,5,"3D","R3A","0","0","11","",7000,0,1500,0,0,0,0,22.47,263,0,0,"0","0","Y","5",2232,2232,1920,5,949963,169105,"0","1","51","0",0
"53506",8198,165,"11",26,19,NA,"E313",111,2150,4,"4D","R2","0","0","11","C",900,0,1600,0,0,0,0,5,100,0,0,"0","0","Y","8",160,160,1920,4,1056051,217365,"0","11","43","0",0
"53587",3662,148,"05",24,30,NA,"E319",104,2400,4,"4D","R4-1","0","0","11","",200,0,1600,0,0,0,0,2,100,0,0,"0","0","N","8",10,10,1920,4,1017299,196285,"0","5","46","0",0
"53608",2562,74,"01",7,17,NA,"L029",40,4700,2,"2A","M1-2/R6A","1","0","0","",1797,0,2001,0,0,0,0,16.81,106.92,0,0,"0","0","N","5",23400,23400,1920,2,1007875,231357,"0","1","23","0",0
"53641",10114,69,"12",28,28,NA,"E303",103,3300,4,"3C","M1-4","0","0","10","",1400,0,1600,0,0,0,0,20,78,0,0,"0","0","Y","5",18900,18900,1920,4,1039574,192966,"0","12","44","0",0
"53642",1147,1,"01",31,49,NA,"L080",121,200,5,"3C","R3A","0","0","10","",18631,0,1500,0,0,0,0,156,134,0,0,"0","0","Y","5",200250,200250,1920,5,943512,167236,"0","1","51","0",0
"53703",5732,17,"07",25,19,NA,"L144",109,222,4,"8E","R3X","0","0","11","",235,0,1600,0,0,0,0,30,35,0,0,"0","0","Y","5",60,60,1920,4,1040892,225555,"0","7","43","0",0
